,news_media,positive,neutral,negative,compound,create_date,tweets_ago
0,nytimes,0.277,0.723,0.0,0.7845,2018-07-22 17:08:04+00:00,0
1,nytimes,0.087,0.72,0.193,-0.4215,2018-07-22 16:58:06+00:00,-1
2,nytimes,0.061,0.351,0.588,-0.9584,2018-07-22 16:48:01+00:00,-2
3,nytimes,0.13,0.87,0.0,0.4019,2018-07-22 16:38:03+00:00,-3
4,nytimes,0.13,0.87,0.0,0.5106,2018-07-22 16:28:02+00:00,-4
5,nytimes,0.158,0.642,0.2,-0.0258,2018-07-22 16:18:04+00:00,-5
6,nytimes,0.083,0.917,0.0,0.2023,2018-07-22 16:08:05+00:00,-6
7,nytimes,0.31,0.69,0.0,0.5574,2018-07-22 15:58:02+00:00,-7
8,nytimes,0.0,0.885,0.115,-0.3818,2018-07-22 15:48:04+00:00,-8
9,nytimes,0.0,0.909,0.091,-0.25,2018-07-22 15:31:47+00:00,-9
10,nytimes,0.093,0.653,0.254,-0.6647,2018-07-22 15:28:05+00:00,-10
11,nytimes,0.0,1.0,0.0,0.0,2018-07-22 15:18:02+00:00,-11
12,nytimes,0.149,0.851,0.0,0.4215,2018-07-22 15:08:06+00:00,-12
13,nytimes,0.171,0.829,0.0,0.3612,2018-07-22 14:58:03+00:00,-13
14,nytimes,0.208,0.705,0.087,0.5574,2018-07-22 14:48:02+00:00,-14
15,nytimes,0.0,1.0,0.0,0.0,2018-07-22 14:38:06+00:00,-15
16,nytimes,0.0,1.0,0.0,0.0,2018-07-22 14:28:00+00:00,-16
17,nytimes,0.0,1.0,0.0,0.0,2018-07-22 14:18:05+00:00,-17
18,nytimes,0.129,0.726,0.145,-0.1027,2018-07-22 14:08:03+00:00,-18
19,nytimes,0.0,1.0,0.0,0.0,2018-07-22 13:59:38+00:00,-19
20,nytimes,0.0,1.0,0.0,0.0,2018-07-22 13:58:06+00:00,-20
21,nytimes,0.087,0.913,0.0,0.3182,2018-07-22 13:48:04+00:00,-21
22,nytimes,0.0,1.0,0.0,0.0,2018-07-22 13:41:58+00:00,-22
23,nytimes,0.0,0.887,0.113,-0.3182,2018-07-22 13:30:11+00:00,-23
24,nytimes,0.0,0.815,0.185,-0.3612,2018-07-22 13:14:12+00:00,-24
25,nytimes,0.0,0.838,0.162,-0.4019,2018-07-22 13:00:15+00:00,-25
26,nytimes,0.0,1.0,0.0,0.0,2018-07-22 12:49:33+00:00,-26
27,nytimes,0.0,1.0,0.0,0.0,2018-07-22 12:42:16+00:00,-27
28,nytimes,0.198,0.802,0.0,0.6072,2018-07-22 12:30:05+00:00,-28
29,nytimes,0.346,0.566,0.088,0.6249,2018-07-22 12:17:59+00:00,-29
30,nytimes,0.067,0.667,0.267,-0.5106,2018-07-22 12:00:09+00:00,-30
31,nytimes,0.246,0.697,0.057,0.6808,2018-07-22 11:30:04+00:00,-31
32,nytimes,0.121,0.879,0.0,0.5106,2018-07-22 11:01:17+00:00,-32
33,nytimes,0.155,0.845,0.0,0.0258,2018-07-22 10:50:28+00:00,-33
34,nytimes,0.0,1.0,0.0,0.0,2018-07-22 10:43:46+00:00,-34
35,nytimes,0.122,0.878,0.0,0.3321,2018-07-22 10:30:07+00:00,-35
36,nytimes,0.0,1.0,0.0,0.0,2018-07-22 10:00:12+00:00,-36
37,nytimes,0.0,1.0,0.0,0.0,2018-07-22 09:36:04+00:00,-37
38,nytimes,0.0,1.0,0.0,0.0,2018-07-22 09:25:16+00:00,-38
39,nytimes,0.0,1.0,0.0,0.0,2018-07-22 09:08:15+00:00,-39
40,nytimes,0.161,0.484,0.355,-0.5267,2018-07-22 08:50:04+00:00,-40
41,nytimes,0.0,0.758,0.242,-0.5859,2018-07-22 08:32:21+00:00,-41
42,nytimes,0.0,0.877,0.123,-0.4497,2018-07-22 08:16:19+00:00,-42
43,nytimes,0.0,0.909,0.091,-0.296,2018-07-22 07:57:39+00:00,-43
44,nytimes,0.255,0.745,0.0,0.6249,2018-07-22 07:39:57+00:00,-44
45,nytimes,0.0,0.746,0.254,-0.7003,2018-07-22 07:22:06+00:00,-45
46,nytimes,0.451,0.549,0.0,0.802,2018-07-22 07:04:27+00:00,-46
47,nytimes,0.055,0.841,0.105,-0.2942,2018-07-22 06:46:35+00:00,-47
48,nytimes,0.0,1.0,0.0,0.0,2018-07-22 06:28:55+00:00,-48
49,nytimes,0.0,0.645,0.355,-0.7713,2018-07-22 06:11:08+00:00,-49
50,nytimes,0.179,0.821,0.0,0.5719,2018-07-22 05:53:23+00:00,-50
51,nytimes,0.235,0.765,0.0,0.4588,2018-07-22 05:35:58+00:00,-51
52,nytimes,0.0,0.892,0.108,-0.1779,2018-07-22 05:18:08+00:00,-52
53,nytimes,0.15,0.85,0.0,0.3182,2018-07-22 05:00:14+00:00,-53
54,nytimes,0.0,1.0,0.0,0.0,2018-07-22 04:42:16+00:00,-54
55,nytimes,0.0,1.0,0.0,0.0,2018-07-22 04:24:19+00:00,-55
56,nytimes,0.186,0.814,0.0,0.6249,2018-07-22 04:07:22+00:00,-56
57,nytimes,0.0,0.685,0.315,-0.5574,2018-07-22 03:50:35+00:00,-57
58,nytimes,0.142,0.632,0.226,-0.3818,2018-07-22 03:38:18+00:00,-58
59,nytimes,0.0,1.0,0.0,0.0,2018-07-22 03:21:56+00:00,-59
60,nytimes,0.259,0.741,0.0,0.5423,2018-07-22 03:04:24+00:00,-60
61,nytimes,0.173,0.827,0.0,0.3182,2018-07-22 02:46:10+00:00,-61
62,nytimes,0.0,1.0,0.0,0.0,2018-07-22 02:31:31+00:00,-62
63,nytimes,0.234,0.633,0.133,0.3818,2018-07-22 02:21:29+00:00,-63
64,nytimes,0.0,1.0,0.0,0.0,2018-07-22 02:17:29+00:00,-64
65,nytimes,0.0,1.0,0.0,0.0,2018-07-22 01:58:08+00:00,-65
66,nytimes,0.142,0.709,0.149,-0.0516,2018-07-22 01:50:43+00:00,-66
67,nytimes,0.175,0.635,0.19,-0.0772,2018-07-22 01:33:21+00:00,-67
68,nytimes,0.198,0.802,0.0,0.6369,2018-07-22 01:31:08+00:00,-68
69,nytimes,0.1,0.753,0.146,-0.2732,2018-07-22 01:12:40+00:00,-69
70,nytimes,0.0,0.637,0.363,-0.6908,2018-07-22 00:55:45+00:00,-70
71,nytimes,0.0,1.0,0.0,0.0,2018-07-22 00:53:20+00:00,-71
72,nytimes,0.123,0.781,0.097,-0.0772,2018-07-22 00:41:11+00:00,-72
73,nytimes,0.254,0.746,0.0,0.7003,2018-07-22 00:24:49+00:00,-73
74,nytimes,0.149,0.639,0.212,-0.2244,2018-07-22 00:05:49+00:00,-74
75,nytimes,0.167,0.833,0.0,0.5574,2018-07-21 23:47:47+00:00,-75
76,nytimes,0.0,0.849,0.151,-0.4939,2018-07-21 23:28:53+00:00,-76
77,nytimes,0.0,0.777,0.223,-0.3182,2018-07-21 23:12:16+00:00,-77
78,nytimes,0.0,1.0,0.0,0.0,2018-07-21 22:53:58+00:00,-78
79,nytimes,0.0,0.755,0.245,-0.3818,2018-07-21 22:48:58+00:00,-79
80,nytimes,0.179,0.821,0.0,0.5719,2018-07-21 22:37:10+00:00,-80
81,nytimes,0.208,0.649,0.143,0.25,2018-07-21 22:17:40+00:00,-81
82,nytimes,0.207,0.793,0.0,0.5267,2018-07-21 22:01:11+00:00,-82
83,nytimes,0.0,1.0,0.0,0.0,2018-07-21 22:00:07+00:00,-83
84,nytimes,0.0,1.0,0.0,0.0,2018-07-21 21:53:43+00:00,-84
85,nytimes,0.0,1.0,0.0,0.0,2018-07-21 21:45:03+00:00,-85
86,nytimes,0.0,0.8,0.2,-0.6705,2018-07-21 21:30:06+00:00,-86
87,nytimes,0.17,0.708,0.123,-0.0,2018-07-21 21:15:01+00:00,-87
88,nytimes,0.0,0.698,0.302,-0.6705,2018-07-21 21:00:11+00:00,-88
89,nytimes,0.161,0.839,0.0,0.3612,2018-07-21 20:45:05+00:00,-89
90,nytimes,0.143,0.857,0.0,0.4588,2018-07-21 20:30:11+00:00,-90
91,nytimes,0.0,0.872,0.128,-0.296,2018-07-21 20:15:05+00:00,-91
92,nytimes,0.271,0.729,0.0,0.7717,2018-07-21 20:00:12+00:00,-92
93,nytimes,0.0,0.65,0.35,-0.8658,2018-07-21 19:47:47+00:00,-93
94,nytimes,0.122,0.878,0.0,0.3321,2018-07-21 19:30:07+00:00,-94
95,nytimes,0.157,0.71,0.133,0.121,2018-07-21 19:15:04+00:00,-95
96,nytimes,0.239,0.761,0.0,0.296,2018-07-21 19:00:06+00:00,-96
97,nytimes,0.303,0.697,0.0,0.8271,2018-07-21 18:45:07+00:00,-97
98,nytimes,0.198,0.802,0.0,0.6072,2018-07-21 18:30:09+00:00,-98
99,nytimes,0.0,0.866,0.134,-0.4767,2018-07-21 18:15:07+00:00,-99
0,CNN,0.194,0.694,0.111,0.4215,2018-07-22 17:00:16+00:00,0
1,CNN,0.0,0.643,0.357,-0.6748,2018-07-22 16:45:03+00:00,-1
2,CNN,0.128,0.872,0.0,0.3612,2018-07-22 16:30:08+00:00,-2
3,CNN,0.0,0.899,0.101,-0.2263,2018-07-22 16:15:06+00:00,-3
4,CNN,0.0,0.711,0.289,-0.7579,2018-07-22 16:00:06+00:00,-4
5,CNN,0.0,1.0,0.0,0.0,2018-07-22 15:45:11+00:00,-5
6,CNN,0.0,1.0,0.0,0.0,2018-07-22 15:30:10+00:00,-6
7,CNN,0.0,0.826,0.174,-0.2732,2018-07-22 15:15:07+00:00,-7
8,CNN,0.064,0.936,0.0,0.0772,2018-07-22 15:00:11+00:00,-8
9,CNN,0.121,0.879,0.0,0.4404,2018-07-22 14:30:13+00:00,-9
10,CNN,0.0,1.0,0.0,0.0,2018-07-22 14:01:05+00:00,-10
11,CNN,0.304,0.696,0.0,0.5413,2018-07-22 13:50:02+00:00,-11
12,CNN,0.0,0.846,0.154,-0.4767,2018-07-22 13:41:03+00:00,-12
13,CNN,0.0,1.0,0.0,0.0,2018-07-22 13:32:03+00:00,-13
14,CNN,0.0,1.0,0.0,0.0,2018-07-22 13:23:09+00:00,-14
15,CNN,0.0,1.0,0.0,0.0,2018-07-22 13:16:22+00:00,-15
16,CNN,0.0,1.0,0.0,0.0,2018-07-22 13:12:12+00:00,-16
17,CNN,0.0,1.0,0.0,0.0,2018-07-22 13:01:00+00:00,-17
18,CNN,0.0,1.0,0.0,0.0,2018-07-22 12:31:00+00:00,-18
19,CNN,0.0,1.0,0.0,0.0,2018-07-22 12:01:03+00:00,-19
20,CNN,0.0,0.901,0.099,-0.296,2018-07-22 11:31:00+00:00,-20
21,CNN,0.13,0.87,0.0,0.2732,2018-07-22 11:01:05+00:00,-21
22,CNN,0.073,0.927,0.0,0.2023,2018-07-22 10:31:00+00:00,-22
23,CNN,0.0,1.0,0.0,0.0,2018-07-22 10:01:00+00:00,-23
24,CNN,0.0,1.0,0.0,0.0,2018-07-22 09:31:00+00:00,-24
25,CNN,0.271,0.608,0.122,0.4019,2018-07-22 09:01:00+00:00,-25
26,CNN,0.0,1.0,0.0,0.0,2018-07-22 08:31:00+00:00,-26
27,CNN,0.283,0.717,0.0,0.743,2018-07-22 08:01:00+00:00,-27
28,CNN,0.0,1.0,0.0,0.0,2018-07-22 07:31:00+00:00,-28
29,CNN,0.113,0.887,0.0,0.1027,2018-07-22 07:00:08+00:00,-29
30,CNN,0.0,1.0,0.0,0.0,2018-07-22 06:31:00+00:00,-30
31,CNN,0.0,0.767,0.233,-0.6969,2018-07-22 06:01:00+00:00,-31
32,CNN,0.0,1.0,0.0,0.0,2018-07-22 05:46:00+00:00,-32
33,CNN,0.0,1.0,0.0,0.0,2018-07-22 05:31:00+00:00,-33
34,CNN,0.0,1.0,0.0,0.0,2018-07-22 05:01:00+00:00,-34
35,CNN,0.157,0.843,0.0,0.4215,2018-07-22 04:31:00+00:00,-35
36,CNN,0.0,1.0,0.0,0.0,2018-07-22 04:01:02+00:00,-36
37,CNN,0.0,0.853,0.147,-0.2263,2018-07-22 03:30:08+00:00,-37
38,CNN,0.266,0.734,0.0,0.6996,2018-07-22 03:00:42+00:00,-38
39,CNN,0.064,0.936,0.0,0.0772,2018-07-22 02:30:09+00:00,-39
40,CNN,0.0,0.824,0.176,-0.6705,2018-07-22 02:25:16+00:00,-40
41,CNN,0.447,0.553,0.0,0.8591,2018-07-22 02:16:09+00:00,-41
42,CNN,0.0,0.909,0.091,-0.296,2018-07-22 02:00:54+00:00,-42
43,CNN,0.283,0.717,0.0,0.743,2018-07-22 02:00:00+00:00,-43
44,CNN,0.0,0.896,0.104,-0.296,2018-07-22 01:59:16+00:00,-44
45,CNN,0.14,0.449,0.41,-0.7003,2018-07-22 01:45:07+00:00,-45
46,CNN,0.0,1.0,0.0,0.0,2018-07-22 01:30:00+00:00,-46
47,CNN,0.0,1.0,0.0,0.0,2018-07-22 01:15:50+00:00,-47
48,CNN,0.271,0.608,0.122,0.4019,2018-07-22 01:00:00+00:00,-48
49,CNN,0.0,1.0,0.0,0.0,2018-07-22 00:45:04+00:00,-49
50,CNN,0.0,1.0,0.0,0.0,2018-07-22 00:30:00+00:00,-50
51,CNN,0.0,1.0,0.0,0.0,2018-07-22 00:15:05+00:00,-51
52,CNN,0.12,0.543,0.337,-0.7184,2018-07-22 00:00:14+00:00,-52
53,CNN,0.0,0.787,0.213,-0.4019,2018-07-21 23:45:03+00:00,-53
54,CNN,0.434,0.566,0.0,0.8883,2018-07-21 23:37:03+00:00,-54
55,CNN,0.0,1.0,0.0,0.0,2018-07-21 23:30:14+00:00,-55
56,CNN,0.205,0.795,0.0,0.5574,2018-07-21 23:15:05+00:00,-56
57,CNN,0.0,0.872,0.128,-0.4215,2018-07-21 23:00:00+00:00,-57
58,CNN,0.0,0.926,0.074,-0.1531,2018-07-21 22:48:39+00:00,-58
59,CNN,0.124,0.621,0.255,-0.2732,2018-07-21 22:30:12+00:00,-59
60,CNN,0.072,0.928,0.0,0.1779,2018-07-21 22:17:07+00:00,-60
61,CNN,0.265,0.735,0.0,0.802,2018-07-21 22:01:23+00:00,-61
62,CNN,0.157,0.843,0.0,0.5994,2018-07-21 21:45:21+00:00,-62
63,CNN,0.126,0.766,0.107,0.1298,2018-07-21 21:35:57+00:00,-63
64,CNN,0.0,0.493,0.507,-0.8834,2018-07-21 21:30:11+00:00,-64
65,CNN,0.0,1.0,0.0,0.0,2018-07-21 21:15:01+00:00,-65
66,CNN,0.184,0.816,0.0,0.5574,2018-07-21 21:00:11+00:00,-66
67,CNN,0.0,1.0,0.0,0.0,2018-07-21 20:45:05+00:00,-67
68,CNN,0.0,0.851,0.149,-0.2732,2018-07-21 20:30:13+00:00,-68
69,CNN,0.195,0.613,0.192,0.0258,2018-07-21 20:15:05+00:00,-69
70,CNN,0.0,0.848,0.152,-0.3612,2018-07-21 20:00:09+00:00,-70
71,CNN,0.0,0.823,0.177,-0.4215,2018-07-21 19:45:05+00:00,-71
72,CNN,0.0,1.0,0.0,0.0,2018-07-21 19:30:07+00:00,-72
73,CNN,0.0,0.833,0.167,-0.296,2018-07-21 19:15:06+00:00,-73
74,CNN,0.152,0.848,0.0,0.3612,2018-07-21 19:00:11+00:00,-74
75,CNN,0.155,0.845,0.0,0.5413,2018-07-21 18:45:06+00:00,-75
76,CNN,0.0,0.892,0.108,-0.3182,2018-07-21 18:30:13+00:00,-76
77,CNN,0.0,1.0,0.0,0.0,2018-07-21 18:15:08+00:00,-77
78,CNN,0.18,0.82,0.0,0.5106,2018-07-21 18:00:11+00:00,-78
79,CNN,0.0,0.863,0.137,-0.2263,2018-07-21 17:45:07+00:00,-79
80,CNN,0.0,1.0,0.0,0.0,2018-07-21 17:30:08+00:00,-80
81,CNN,0.0,1.0,0.0,0.0,2018-07-21 17:15:06+00:00,-81
82,CNN,0.13,0.87,0.0,0.2023,2018-07-21 17:00:09+00:00,-82
83,CNN,0.256,0.744,0.0,0.6705,2018-07-21 16:45:09+00:00,-83
84,CNN,0.0,0.773,0.227,-0.6597,2018-07-21 16:30:02+00:00,-84
85,CNN,0.209,0.791,0.0,0.5719,2018-07-21 16:15:04+00:00,-85
86,CNN,0.442,0.558,0.0,0.8519,2018-07-21 16:00:06+00:00,-86
87,CNN,0.0,0.853,0.147,-0.2263,2018-07-21 15:45:05+00:00,-87
88,CNN,0.0,1.0,0.0,0.0,2018-07-21 15:30:05+00:00,-88
89,CNN,0.12,0.543,0.337,-0.7184,2018-07-21 15:15:06+00:00,-89
90,CNN,0.0,1.0,0.0,0.0,2018-07-21 15:03:17+00:00,-90
91,CNN,0.0,1.0,0.0,0.0,2018-07-21 14:01:06+00:00,-91
92,CNN,0.0,0.839,0.161,-0.3182,2018-07-21 13:48:05+00:00,-92
93,CNN,0.0,1.0,0.0,0.0,2018-07-21 13:31:00+00:00,-93
94,CNN,0.0,1.0,0.0,0.0,2018-07-21 13:01:00+00:00,-94
95,CNN,0.0,0.901,0.099,-0.296,2018-07-21 12:31:00+00:00,-95
96,CNN,0.0,1.0,0.0,0.0,2018-07-21 12:01:00+00:00,-96
97,CNN,0.0,1.0,0.0,0.0,2018-07-21 11:31:00+00:00,-97
98,CNN,0.271,0.608,0.122,0.4019,2018-07-21 11:01:00+00:00,-98
99,CNN,0.0,1.0,0.0,0.0,2018-07-21 10:31:00+00:00,-99
0,BBC,0.271,0.729,0.0,0.6369,2018-07-22 17:06:28+00:00,0
1,BBC,0.0,1.0,0.0,0.0,2018-07-22 16:45:18+00:00,-1
2,BBC,0.0,0.714,0.286,-0.8402,2018-07-22 16:04:04+00:00,-2
3,BBC,0.0,0.884,0.116,-0.2732,2018-07-22 15:04:05+00:00,-3
4,BBC,0.289,0.711,0.0,0.7264,2018-07-22 14:08:06+00:00,-4
5,BBC,0.0,1.0,0.0,0.0,2018-07-22 13:06:02+00:00,-5
6,BBC,0.314,0.686,0.0,0.7506,2018-07-22 12:09:04+00:00,-6
7,BBC,0.353,0.647,0.0,0.5994,2018-07-22 11:02:05+00:00,-7
8,BBC,0.274,0.726,0.0,0.7506,2018-07-22 10:04:05+00:00,-8
9,BBC,0.138,0.862,0.0,0.34,2018-07-22 08:19:58+00:00,-9
10,BBC,0.0,1.0,0.0,0.0,2018-07-22 08:03:01+00:00,-10
11,BBC,0.0,1.0,0.0,0.0,2018-07-22 07:03:00+00:00,-11
12,BBC,0.321,0.679,0.0,0.6369,2018-07-21 20:21:08+00:00,-12
13,BBC,0.0,0.724,0.276,-0.4939,2018-07-21 19:31:05+00:00,-13
14,BBC,0.0,1.0,0.0,0.0,2018-07-21 18:02:06+00:00,-14
15,BBC,0.0,1.0,0.0,0.0,2018-07-21 17:05:05+00:00,-15
16,BBC,0.0,1.0,0.0,0.0,2018-07-21 16:04:04+00:00,-16
17,BBC,0.0,1.0,0.0,0.0,2018-07-21 15:04:19+00:00,-17
18,BBC,0.37,0.63,0.0,0.8126,2018-07-21 15:04:02+00:00,-18
19,BBC,0.213,0.648,0.139,0.2023,2018-07-21 14:03:06+00:00,-19
20,BBC,0.0,1.0,0.0,0.0,2018-07-21 13:03:08+00:00,-20
21,BBC,0.0,0.672,0.328,-0.8316,2018-07-21 12:03:05+00:00,-21
22,BBC,0.0,1.0,0.0,0.0,2018-07-21 11:16:04+00:00,-22
23,BBC,0.27,0.73,0.0,0.5719,2018-07-21 10:10:07+00:00,-23
24,BBC,0.314,0.686,0.0,0.7506,2018-07-21 09:03:03+00:00,-24
25,BBC,0.167,0.833,0.0,0.4939,2018-07-21 09:02:04+00:00,-25
26,BBC,0.0,1.0,0.0,0.0,2018-07-21 08:32:20+00:00,-26
27,BBC,0.0,0.794,0.206,-0.5267,2018-07-21 08:03:05+00:00,-27
28,BBC,0.0,1.0,0.0,0.0,2018-07-21 07:03:03+00:00,-28
29,BBC,0.194,0.543,0.264,-0.4215,2018-07-20 19:02:04+00:00,-29
30,BBC,0.0,1.0,0.0,0.0,2018-07-20 18:03:08+00:00,-30
31,BBC,0.0,1.0,0.0,0.0,2018-07-20 17:02:06+00:00,-31
32,BBC,0.0,1.0,0.0,0.0,2018-07-20 15:59:00+00:00,-32
33,BBC,0.0,0.853,0.147,-0.4767,2018-07-20 14:56:18+00:00,-33
34,BBC,0.0,0.808,0.192,-0.6131,2018-07-20 14:53:06+00:00,-34
35,BBC,0.0,0.919,0.081,-0.296,2018-07-20 14:52:46+00:00,-35
36,BBC,0.0,1.0,0.0,0.0,2018-07-20 14:31:04+00:00,-36
37,BBC,0.0,1.0,0.0,0.0,2018-07-20 13:35:41+00:00,-37
38,BBC,0.086,0.914,0.0,0.2235,2018-07-20 13:33:22+00:00,-38
39,BBC,0.361,0.639,0.0,0.7845,2018-07-20 13:03:04+00:00,-39
40,BBC,0.0,1.0,0.0,0.0,2018-07-20 13:01:24+00:00,-40
41,BBC,0.0,0.64,0.36,-0.5216,2018-07-20 12:02:04+00:00,-41
42,BBC,0.263,0.737,0.0,0.6908,2018-07-20 11:21:07+00:00,-42
43,BBC,0.0,1.0,0.0,0.0,2018-07-20 10:48:43+00:00,-43
44,BBC,0.163,0.837,0.0,0.5719,2018-07-20 10:44:50+00:00,-44
45,BBC,0.0,1.0,0.0,0.0,2018-07-20 09:11:11+00:00,-45
